,Location,Price,Size,Rooms,Bathrooms,link
0,Puerto colombia - Puerto Colombia,$155.990.000,"46,99m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/aquanova/puerto-colombia/puerto-colombia/7055721
1,Puerto colombia - Puerto Colombia,$155.990.000,"56,44m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/aquanova/puerto-colombia/puerto-colombia/7055721
2,Puerto Colombia Atlántico - Puerto Colombia,$151.686.000,55m²,2ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/manglar--ciudad-mallorquin/puerto-colombia--atlantico/puerto-colombia/6096218
3,Bajo Ostion - Puerto Colombia,$400.000.000,"117,15m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/riviera-del-mar-reserva-campestre/bajo-ostion/puerto-colombia/5445530
4,San Jose del Norte - Puerto Colombia,$1.030.000.000,"191,89m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
5,San Jose del Norte - Puerto Colombia,$1.249.814.887,"230,54m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
6,San Jose del Norte - Puerto Colombia,$1.501.436.000,"276,42m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
7,San Jose del Norte - Puerto Colombia,$1.496.436.000,"253,01m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
8,San Jose del Norte - Puerto Colombia,$1.601.436.000,"276,42m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
9,San Jose del Norte - Puerto Colombia,$1.601.436.000,"276,42m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
10,San Jose del Norte - Puerto Colombia,$1.916.136.000,"417,28m²",4ha.,6ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
11,San Jose del Norte - Puerto Colombia,$1.551.436.000,"253,01m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
12,San Jose del Norte - Puerto Colombia,$1.406.436.000,"253,01m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/santa-barbara-club-house/san-jose-del-norte/puerto-colombia/6809342
